NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Redaccion de la primera revision del proyecto de ordenacion del monte San Isidro y Penouta,"13.999,00 €","12.726,36 €",Campo de Casariego SL,,6 meses,Servicio,
,Mantenimiento de coche - Cambio de Ruedas 2497LCS,"222,18 €","183,62 €","Campoastur Productos y Servicios, S COOP",,1 mes,Servicio,
,Patrocinio del mercado de la Paz por la marca Alimentos del Paraiso Natura,"16.940,00 €","14.000,00 €","Cargajacesa, S.L.",,13 dias,Servicios,
,"Actualización del Proyecto de Adecuación del local de la Antigua Cámara Agraria de Infiesto para Centro de 
Información Agraria.","1.452,00 €","1.200,00 €",Carlos Joglar Tamargo,,15 días,Servicios,
,Material de laboratorio,"2.238,50 €","1.850,00 €",Chemlabor SL,,Un (1) mes,Suministros,
,Suministro de recambios para los equipos de elaboracion de agua agua desionizada y agua Milli-Q,"3.056,02 €","2.525,64 €","Chemlabor, S.L.",,1 mes,Suministros,
,Primera revision del proyecto de ordenacion del monte en convenio Sierra del Acebo y Peñafurada,"13.200,00 €","12.000,00 €","Cierval Medioambiente, SLU",,6 meses,Servicio,
,Redaccion de varios proyectos en areas recreativas,"12.584,00 €","10.400,00 €","Cierval Medioambiente, SLU",,2 meses,Servicio,
,Mobiliario de oficina,"2.431,25 €","2.009,30 €",Clarín Librería y papelería SL,,Un (1) mes,Suministros,
,Adquisicion de cinco auriculares inalámbricos Plantronics C5540 con descolgador telefonico Plantronics Hl10,"684,68 €","565,85 €","Comercial Hidalgo Alonso, S.L.",,1 Mes,Suministros,
,Adq Plastific A3 y Dispens Post it,"104,06 €","86,00 €","Comercial Manuel Urones, S.L.",,1 mes,Suministros,
,Moscovitas Partic Jorn Ayud PAC,"526,35 €","478,50 €","Confitería Rialto, S.L.",,3 días,Suministros,
,Servicio de amarre de la embarcación RÍA DEL EO,"7.620,00 €","6.297,52 €",Contratas Piñera SA,,Hasta 31.12.24Servicios,,
,Suplementos alimenticios centro de cría del urogallo,"455,82 €","376,71 €","Cooperativa de agricultores, consumidores y usuarios 
del concejo de Gijón, S. Coop. Astur",,hasta el 15 de diciembre de 2024,,
,Redaccion del proyecto de ordenacion del grupo de montes en convenio de Illano,"10.780,00 €","9.800,00 €",Coviastur SL,,6 meses,Servicio,
,Redaccion/colaboracion de los rroyectos de obra repoblación forestal Comarca de Pravia 2023,"8.851,99 €","8.047,26 €",Coviastur SL,,4 meses,Servicio,
,Primera revision proyecto de ordenacion de los cuarteles C Arganza-Lago y D Moure-Carriles del MUP 322,"11.205,04 €","10.186,40 €",Coviastur SL,,4 meses,Servicio,
,Suministro de ensayo interlaboratorial de aflatoxina M1 en leche de bovino,"287,98 €","238,00 €","Cromakit, S.L.",,8 meses,Suministros,
,Estudio científico tecnologías reproductivas del urogallo,"8.470,00 €","7.000,00 €",CSIC-INIA,,hasta el 15 de diciembre de 2024,,
,Servicio de reparación y sustitución de las tuberías del Laboratorio de Sanidad Animal,"998,25 €","825,00 €",Daniel Lueje Diaz,,1 mes,Servicios,
,Sustitución de inodoro en Consultorio de Colunga,"544,50 €","450,00 €",Daniel Suarez Berdayes,,1 mes,Servicios,
,Adquisicion crotales individuales para las campañas de saneamiento ganado porcino,"3.630,00 €","3.000,00 €","Datamars Iberica, S.L.U.",,1 Mes,Suministros,
,Mantenimiento de elementos de buceo,"230,00 €","190,08 €",Deportes Pardo SL,,Dos (2) mesesServicios,,
,"Reparacion vehiculo 8883 LPP sustitución de cambio de aceite, filtros de aceite, aire, habitaculo, tornillo de 
carter o junta, quitar testigos de mantenimientos en cuandro de mandose","1.361,15 €","1.124,92 €",Diego ¨Tres Palacios,,15 dias,Servicios,
